price,duration,frequency
20,1.0,once
6,1.5,once
1,1.3333333333333333,once
6,2.4166666666666665,once
0,2.55,once
0,6.0,once
0,2.75,once
0,1.8333333333333333,once
100,2.0,once
0,1.9333333333333333,once
40,1.3333333333333333,once
0,2.4,once
0,2.35,once
1,1.5,once
0,1.95,once
20,1.0,once
0,3.0,once
0,7.0,once
6,1.5166666666666666,once
6,1.8333333333333333,once
6,1.3666666666666667,once
6,1.6,once
6,1.8333333333333333,once
6,1.8833333333333333,once
6,1.7666666666666666,once
6,1.45,once
6,1.6166666666666667,once
6,1.5333333333333334,once
0,8.0,weekly
0,1.0,weekly
0,1.0,once
0,2.0,once
0,9.0,daily
10,1.0,once
0,2.0,weekly
10,1.0,once
10,1.5,once
0,13.0,once
10,1.0,once
60,1.0,once
20,1.0,once
0,13.0,once
0,10.0,weekly
0,4.0,weekly
